"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:06 CST 2024","198","MyComponent","","","","","Renderiza múltiples recomendaciones correctamente",""
"passed","Fri Jun 14 22:31:06 CST 2024","Fri Jun 14 22:31:06 CST 2024","88","BigBox Component","","","","","debe renderizar categorías con los estilos correctos",""
"passed","Fri Jun 14 22:31:33 CST 2024","Fri Jun 14 22:31:34 CST 2024","875","","Prueba E2E Fausto, revisar los resultados del usuario si y sólo si está loggeado","","Prueba E2E Fausto, revisar los resultados del usuario si y sólo si está loggeado","debería mostrar la página de resultados del usuario cuando esté logueado","debería mostrar la página de resultados del usuario cuando esté logueado",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","117","Index Component","","","","","Checar si existe la descripción de la página de empresas",""
"passed","Fri Jun 14 22:31:06 CST 2024","Fri Jun 14 22:31:06 CST 2024","61","Evaluation","","","","","Verificar que se hace la navegación correctamente",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:06 CST 2024","770","Header2 component","","","","","nav element has role navigation",""
"passed","Fri Jun 14 22:31:37 CST 2024","Fri Jun 14 22:31:38 CST 2024","758","","Prueba E2E Gabriel, revisar las categorías dentro de la pestaña de resources","","Prueba E2E Gabriel, revisar las categorías dentro de la pestaña de resources","se deberían poder ver las categorías","se deberían poder ver las categorías",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","118","Footer Component","","","","","should contain a Privacy Policy link",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","278","MyComponent","","","","","Verifica que los estilos de fondo del componente cambian de ""bg-white"" a ""bg-[#fbbf24]"" al ser ""Educación"" la categoría mostrada",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","164","MyComponent","","","","","Asigna los colores de texto y fondo correctos basados en el nombre de la tarjeta",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","652","Header2 component","","","","","Se renderiza el link de inicio con icono",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:06 CST 2024","211","MyComponent","","","","","No muestra el contenido de la recomendación sin interacción",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:06 CST 2024","205","MyComponent","","","","","Los colores de fondo y texto cambian basados en la categoría de la tarjeta",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","132","MyComponent","","","","","Muestra correctamente el número y título de la recomendación",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","102","Index Component","","","","","Checar si existe el texto de la página de empresas",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","406","Page Component","","","","","Renderiza el componente SideNav y los tabs funcionan. ",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","267","Page Component","","","","","Muestra el ""Loading..."" cuando está cargando",""
"passed","Fri Jun 14 22:31:06 CST 2024","Fri Jun 14 22:31:06 CST 2024","71","Index Component","","","","","debe aplicar los estilos de texto correctamente",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","157","MyComponent","","","","","Aplica los colores correctos para la tarjeta de Vivienda",""
"passed","Fri Jun 14 22:31:35 CST 2024","Fri Jun 14 22:31:37 CST 2024","2043","","Prueba E2E Gabriel, revisar las categorías dentro de la pestaña de resources","","Prueba E2E Gabriel, revisar las categorías dentro de la pestaña de resources","debe de mandar al usuario a la página de recursos","debe de mandar al usuario a la página de recursos",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","272","Page Component","","","","","Muestra el mensaje de error si hay un error. ",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","261","Header2 component","","","","","Se renderiza correctamente",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","262","Footer Component","","","","","should have appropriate class names for styling part 2",""
"passed","Fri Jun 14 22:31:06 CST 2024","Fri Jun 14 22:31:06 CST 2024","79","Terms and Conditions Page","","","","","debe cargar la imagen de fondo con los atributos adecuados",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","106","MyComponent","","","","","Verifica que el ícono de Academia se renderiza cuando la categoría es ""Educación""",""
"skipped","Fri Jun 14 22:31:06 CST 2024","Fri Jun 14 22:31:06 CST 2024","64","Evaluation","","","","","Verificar que se hace la navegación correctamente con un user dado",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:06 CST 2024","827","Header2 component","","","","","El link de Home se renderiza correctamente",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:06 CST 2024","726","Header2 component","","","","","El botón de menú tienes las clases correctas",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","261","MyComponent","","","","","Verifica que el botón es funcional y llama a la función toggleVisibility con ""Educación"" como argumento al ser clickeado",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","96","Footer Component","","","","","should display the current year",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:06 CST 2024","882","Header2 component","","","","","El link de Recursos se renderiza correctamente",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","485","Page Component","","","","","El botón ""Cerrar Sesión"" se muestra y redirige correctamente",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","397","Header2 component","","","","","Se muestran los tabs correctos en el header",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:06 CST 2024","837","Header2 component","","","","","El link de Evaluación se renderiza correctamente",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","269","Footer Component","","","","","should render container with appropriate styling part 3",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","128","Footer Component","","","","","should contain a Terms of Service link",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","170","Page Component","","","","","Render de botón ""Ver Resultados"". ",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","454","Page Component","","","","","Renderiza la lista de empleados correctamente",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:05 CST 2024","535","Page Component","","","","","El componente UserSettings si renderiza. ",""
"passed","Fri Jun 14 22:31:05 CST 2024","Fri Jun 14 22:31:06 CST 2024","189","MyComponent","","","","","Oculta el contenido de la recomendación al retirar el mouse",""
"passed","Fri Jun 14 22:31:31 CST 2024","Fri Jun 14 22:31:33 CST 2024","2117","","Prueba E2E Fausto, revisar los resultados del usuario si y sólo si está loggeado","","Prueba E2E Fausto, revisar los resultados del usuario si y sólo si está loggeado","debería redirigir a la página de inicio de sesión externa si no está logueado","debería redirigir a la página de inicio de sesión externa si no está logueado",""
